Date;Open;High;Low;Close;Adj Close;Volume
7/4/2020;48.959.999;49.650.002;46.680.000;47.560.001;47.560.001;102098700
8/4/2020;48.070.000;49.000.000;47.610.001;48.790.001;48.790.001;64930800
9/4/2020;49.650.002;50.250.000;47.720.001;48.380.001;48.380.001;80357400
13/4/2020;48.470.001;51.070.000;48.230.000;50.939.999;50.939.999;64290100
14/4/2020;52.240.002;55.139.999;52.110.001;54.930.000;54.930.000;85306800
15/4/2020;53.730.000;55.570.000;53.410.000;54.990.002;54.990.002;83814000
16/4/2020;55.959.999;58.080.002;55.630.001;56.950.001;56.950.001;103106500
17/4/2020;57.349.998;57.759.998;55.549.999;56.599.998;56.599.998;76908800
20/4/2020;55.980.000;58.630.001;55.849.998;56.970.001;56.970.001;72367300
21/4/2020;56.900.002;57.730.000;51.410.000;52.919.998;52.919.998;123906400
22/4/2020;54.910.000;56.150.002;54.340.000;55.919.998;55.919.998;63164100
23/4/2020;56.650.002;57.290.001;55.639.999;55.900.002;55.900.002;69662700
24/4/2020;55.099.998;56.779.999;54.419.998;56.180.000;56.180.000;72854800
27/4/2020;57.439.999;58.000.000;56.250.000;56.490.002;56.490.002;62568100
28/4/2020;57.160.000;57.349.998;55.299.999;55.509.998;55.509.998;80501800
29/4/2020;54.529.999;54.860.001;52.740.002;53.660.000;53.660.000;110800900
30/4/2020;53.430.000;54.290.001;52.029.999;52.389.999;52.389.999;65543900
1/5/2020;51.070.000;51.950.001;49.090.000;49.880.001;49.880.001;69562700
